ClassName,Changes,TotalCommits,Insertions,Deletions
BaseSettings,1,22,261,101
BasicDeserializerFactory,1,22,3936,2629
DeserializationContext,1,22,3120,1611
ExternalTypeHandler,1,22,492,170
BaseJsonNode,1,22,142,41
BooleanNode,2,22,141,40
IntNode,1,22,146,13
MissingNode,2,22,151,40
NullNode,2,22,93,30
ValueNode,2,22,192,72
ObjectMapper,1,22,3713,2350
BasicSerializerFactory,2,22,1806,1334
BeanPropertyWriter,1,22,1394,934
SerializerProvider,2,22,2172,1276
PropertySerializerMap,1,22,227,81
SerializerFactory,1,22,258,173
MapSerializer,1,22,1534,807
StdKeySerializer,1,22,78,97
StdKeySerializers,4,22,326,148
ISO8601Utils,1,22,377,287
StdDateFormat,1,22,991,536
TestCollectionDeserialization,1,22,231,403
TestMapDeserialization,2,22,289,714
TestExternalId,1,22,494,663
TestJSONP,1,22,74,13
Bean,2,20,39,39
KeyEnum,2,20,10,10
ModuleVersion,2,20,28,28
TestEnumDeserializer,2,20,29,29
TestEnum,2,20,42,42
TestEnumKeyDeserializer,2,20,21,21
TestEnumKeySerializer,2,20,23,23
TestEnumMixin,2,20,11,11
TestEnumModule,2,20,27,27
TestEnumSerializer,2,20,36,36
TestCustomEnumKeyDeserializer,2,15,118,37
TestCustomKeyDeserializer,2,20,56,56
TestEnumSerialization,3,22,389,231
TestKeySerializers,4,22,288,34
EnumCreatorTest929,1,22,35,64
EnumMap749Test,1,22,0,51
ImplicitParamsForCreator806Test,1,22,65,11
PolymorphicListTest936,1,21,0,108
