ClassName,Changes,TotalCommits,Insertions,Deletions
CLI2Converter.java,2,140,6,5
CLI2ConverterTest.java,2,140,6,5
src/java/org/apache/commons/cli2/Argument.java,3,287,0,96
src/java/org/apache/commons/cli2/builder/ArgumentBuilder.java,6,287,0,259
src/java/org/apache/commons/cli2/builder/CommandBuilder.java,5,287,0,166
src/java/org/apache/commons/cli2/builder/DefaultOptionBuilder.java,6,287,0,219
src/java/org/apache/commons/cli2/builder/GroupBuilder.java,3,287,0,116
src/java/org/apache/commons/cli2/builder/PatternBuilder.java,3,287,0,200
src/java/org/apache/commons/cli2/builder/SwitchBuilder.java,7,287,0,176
src/java/org/apache/commons/cli2/commandline/CommandLineImpl.java,3,287,0,116
src/java/org/apache/commons/cli2/commandline/DefaultingCommandLine.java,2,287,0,171
src/java/org/apache/commons/cli2/CommandLine.java,2,287,0,214
src/java/org/apache/commons/cli2/commandline/Parser.java,9,287,0,147
src/java/org/apache/commons/cli2/commandline/PreferencesCommandLine.java,2,287,0,169
src/java/org/apache/commons/cli2/commandline/PropertiesCommandLine.java,2,287,0,154
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,5,287,0,215
src/java/org/apache/commons/cli2/DisplaySetting.java,3,287,0,156
src/java/org/apache/commons/cli2/Group.java,2,287,0,64
src/java/org/apache/commons/cli2/HelpLine.java,2,287,0,52
src/java/org/apache/commons/cli2/option/ArgumentImpl.java,10,287,0,370
src/java/org/apache/commons/cli2/option/Command.java,6,287,0,180
src/java/org/apache/commons/cli2/option/DefaultOption.java,7,287,0,231
src/java/org/apache/commons/cli2/OptionException.java,4,287,0,110
src/java/org/apache/commons/cli2/option/GroupImpl.java,11,287,0,470
src/java/org/apache/commons/cli2/option/HelpLineImpl.java,2,287,0,109
src/java/org/apache/commons/cli2/Option.java,6,287,0,187
src/java/org/apache/commons/cli2/option/OptionImpl.java,7,287,0,102
src/java/org/apache/commons/cli2/option/ParentImpl.java,6,287,0,255
src/java/org/apache/commons/cli2/option/PropertyOption.java,5,287,0,166
src/java/org/apache/commons/cli2/option/SourceDestArgument.java,5,287,0,143
src/java/org/apache/commons/cli2/option/Switch.java,9,287,0,234
src/java/org/apache/commons/cli2/Parent.java,2,287,0,40
src/java/org/apache/commons/cli2/resource/ResourceConstants.java,3,181,0,57
src/java/org/apache/commons/cli2/resource/ResourceHelper.java,8,287,0,178
src/java/org/apache/commons/cli2/util/Comparators.java,3,287,0,479
src/java/org/apache/commons/cli2/util/HelpFormatter.java,9,287,0,604
src/java/org/apache/commons/cli2/validation/ClassValidator.java,6,287,0,156
src/java/org/apache/commons/cli2/validation/DateValidator.java,9,287,0,213
src/java/org/apache/commons/cli2/validation/EnumValidator.java,9,287,0,86
src/java/org/apache/commons/cli2/validation/FileValidator.java,5,287,0,166
src/java/org/apache/commons/cli2/validation/InvalidArgumentException.java,3,287,0,30
src/java/org/apache/commons/cli2/validation/NumberValidator.java,7,287,0,132
src/java/org/apache/commons/cli2/validation/UrlValidator.java,6,287,0,62
src/java/org/apache/commons/cli2/validation/Validator.java,3,287,0,35
src/java/org/apache/commons/cli2/WriteableCommandLine.java,3,287,0,59
src/java/org/apache/commons/cli/AlreadySelectedException.java,12,396,70,66
src/java/org/apache/commons/cli/avalon/AbstractParserControl.java,2,221,0,40
src/java/org/apache/commons/cli/avalon/CLArgsParser.java,2,221,0,810
src/java/org/apache/commons/cli/avalon/CLOptionDescriptor.java,2,221,0,226
src/java/org/apache/commons/cli/avalon/CLOption.java,2,221,0,173
src/java/org/apache/commons/cli/avalon/CLUtil.java,2,221,0,118
src/java/org/apache/commons/cli/avalon/ParserControl.java,2,221,0,36
src/java/org/apache/commons/cli/avalon/Token.java,2,221,0,72
src/java/org/apache/commons/cli/BasicParser.java,9,360,40,7
src/java/org/apache/commons/cli/CLI2Converter.java,2,287,0,190
src/java/org/apache/commons/cli/CommandLine.java,28,396,286,147
src/java/org/apache/commons/cli/CommandLineParserFactory.java,5,385,0,95
src/java/org/apache/commons/cli/CommandLineParser.java,13,393,73,66
src/java/org/apache/commons/cli/GnuParser.java,21,392,85,142
src/java/org/apache/commons/cli/HelpFormatter.java,27,396,951,319
src/java/org/apache/commons/cli/MissingArgumentException.java,11,396,55,67
src/java/org/apache/commons/cli/MissingOptionException.java,11,396,81,67
src/java/org/apache/commons/cli/OptionBuilder.java,21,372,325,33
src/java/org/apache/commons/cli/OptionGroup.java,16,396,89,125
src/java/org/apache/commons/cli/Option.java,38,396,563,192
src/java/org/apache/commons/cli/Options.java,28,396,152,578
src/java/org/apache/commons/cli/OptionValidator.java,9,322,52,81
src/java/org/apache/commons/cli/ParseException.java,10,396,26,67
src/java/org/apache/commons/cli/Parser.java,33,360,333,90
src/java/org/apache/commons/cli/PatternOptionBuilder.java,19,396,162,129
src/java/org/apache/commons/cli/PosixParser.java,28,393,243,164
src/java/org/apache/commons/cli/TypeHandler.java,17,396,182,132
src/java/org/apache/commons/cli/UnrecognizedOptionException.java,11,396,54,67
src/java/org/apache/commons/cli/Util.java,10,322,60,64
src/test/org/apache/commons/cli2/application/AntTest.java,2,287,0,197
src/test/org/apache/commons/cli2/application/CpTest.java,4,287,0,470
src/test/org/apache/commons/cli2/application/CvsTest.java,2,287,0,311
src/test/org/apache/commons/cli2/application/LsTest.java,2,287,0,223
src/test/org/apache/commons/cli2/bug/Bug13886Test.java,2,287,0,88
src/test/org/apache/commons/cli2/bug/Bug13935Test.java,2,287,0,59
src/test/org/apache/commons/cli2/bug/Bug15046Test.java,2,287,0,81
src/test/org/apache/commons/cli2/bug/Bug15648Test.java,2,287,0,59
src/test/org/apache/commons/cli2/bug/Bug27575Test.java,2,287,0,40
src/test/org/apache/commons/cli2/bug/Bug28005Test.java,3,287,0,79
src/test/org/apache/commons/cli2/bug/Bug32533Test.java,3,233,0,49
src/test/org/apache/commons/cli2/bug/BugCLI18Test.java,2,146,0,59
src/test/org/apache/commons/cli2/bug/BugLoopingOptionLookAlikeTest.java,3,222,0,57
src/test/org/apache/commons/cli2/builder/ArgumentBuilderTest.java,2,178,0,251
src/test/org/apache/commons/cli2/builder/DefaultOptionBuilderTest.java,4,287,0,199
src/test/org/apache/commons/cli2/CLITestCase.java,3,287,0,84
src/test/org/apache/commons/cli2/commandline/DefaultingCommandLineTest.java,6,287,0,132
src/test/org/apache/commons/cli2/CommandLineDefaultsTest.java,2,263,0,250
src/test/org/apache/commons/cli2/commandline/ParserTest.java,2,215,0,124
src/test/org/apache/commons/cli2/commandline/PreferencesCommandLineTest.java,4,287,0,50
src/test/org/apache/commons/cli2/commandline/PropertiesCommandLineTest.java,5,287,0,51
src/test/org/apache/commons/cli2/CommandLineTestCase.java,6,287,0,485
src/test/org/apache/commons/cli2/commandline/WriteableCommandLineImplTest.java,3,287,0,35
src/test/org/apache/commons/cli2/DocumentationTest.java,7,287,0,321
src/test/org/apache/commons/cli2/jdepend/JDependTest.java,4,287,0,111
src/test/org/apache/commons/cli2/option/ArgumentTestCase.java,2,287,0,27
src/test/org/apache/commons/cli2/option/ArgumentTest.java,9,287,0,615
src/test/org/apache/commons/cli2/option/CommandTest.java,5,287,0,241
src/test/org/apache/commons/cli2/option/DefaultOptionTest.java,4,287,0,225
src/test/org/apache/commons/cli2/option/GroupTestCase.java,3,287,0,31
src/test/org/apache/commons/cli2/option/GroupTest.java,6,287,0,426
src/test/org/apache/commons/cli2/option/NestedGroupTest.java,3,233,0,199
src/test/org/apache/commons/cli2/option/OptionTestCase.java,2,287,0,54
src/test/org/apache/commons/cli2/option/ParentTestCase.java,2,287,0,25
src/test/org/apache/commons/cli2/option/ParentTest.java,5,287,0,414
src/test/org/apache/commons/cli2/option/PropertyOptionTest.java,4,287,0,232
src/test/org/apache/commons/cli2/option/SwitchTest.java,6,287,0,239
src/test/org/apache/commons/cli2/PrecedenceTest.java,6,287,0,416
src/test/org/apache/commons/cli2/resource/ResourceHelperTest.java,2,175,0,81
src/test/org/apache/commons/cli2/util/ComparatorsTest.java,3,287,0,222
src/test/org/apache/commons/cli2/util/HelpFormatterTest.java,10,287,0,343
src/test/org/apache/commons/cli2/validation/ClassValidatorTest.java,4,287,0,247
src/test/org/apache/commons/cli2/validation/DateValidatorTest.java,12,287,0,80
src/test/org/apache/commons/cli2/validation/EnumValidatorTest.java,5,287,0,58
src/test/org/apache/commons/cli2/validation/FileValidatorTest.java,9,287,0,82
src/test/org/apache/commons/cli2/validation/NumberValidatorTest.java,5,287,0,146
src/test/org/apache/commons/cli2/validation/protect/ProtectedClass.java,3,287,0,21
src/test/org/apache/commons/cli2/validation/TimeZoneTestSuite.java,2,208,0,45
src/test/org/apache/commons/cli2/validation/UrlValidatorTest.java,5,287,0,55
src/test/org/apache/commons/cli2/WriteableCommandLineTestCase.java,4,287,0,94
src/test/org/apache/commons/cli/ApplicationTest.java,17,392,147,36
src/test/org/apache/commons/cli/ArgumentIsOptionTest.java,6,245,41,65
src/test/org/apache/commons/cli/avalon/ClutilTestCase.java,2,221,0,1022
src/test/org/apache/commons/cli/BasicParserTest.java,2,62,26,10
src/test/org/apache/commons/cli/bug/BugCLI133Test.java,2,115,7,1
src/test/org/apache/commons/cli/bug/BugCLI138Test.java,2,84,0,59
src/test/org/apache/commons/cli/bug/BugCLI13Test.java,2,134,5,5
src/test/org/apache/commons/cli/bug/BugCLI148Test.java,3,83,10,3
src/test/org/apache/commons/cli/bug/BugCLI18Test.java,3,146,25,21
src/test/org/apache/commons/cli/bug/BugCLI51Test.java,3,133,0,51
src/test/org/apache/commons/cli/bug/BugCLI71Test.java,3,132,11,4
src/test/org/apache/commons/cli/BugsTest.java,29,364,463,34
src/test/org/apache/commons/cli/BuildTest.java,7,396,0,166
src/test/org/apache/commons/cli/CLI2ConverterTest.java,2,287,0,132
src/test/org/apache/commons/cli/CommandLineTest.java,1,39,0,0
src/test/org/apache/commons/cli/GnuParserTest.java,7,47,3,174
src/test/org/apache/commons/cli/GnuParseTest.java,10,385,0,267
src/test/org/apache/commons/cli/HelpFormatterExamples.java,5,396,38,30
src/test/org/apache/commons/cli/HelpFormatterTest.java,10,113,180,21
src/test/org/apache/commons/cli/LongOptionWithShort.java,4,245,0,113
src/test/org/apache/commons/cli/OptionBuilderTest.java,8,372,50,51
src/test/org/apache/commons/cli/OptionGroupTest.java,14,396,138,154
src/test/org/apache/commons/cli/OptionsTest.java,13,321,112,94
src/test/org/apache/commons/cli/OptionTest.java,6,132,140,35
src/test/org/apache/commons/cli/ParseRequiredTest.java,13,396,82,54
src/test/org/apache/commons/cli/ParserTestCase.java,2,6,8,0
src/test/org/apache/commons/cli/ParseTest.java,12,396,0,307
src/test/org/apache/commons/cli/PatternOptionBuilderTest.java,14,396,149,50
src/test/org/apache/commons/cli/PosixParserTest.java,10,71,103,7
src/test/org/apache/commons/cli/TestHelpFormatter.java,10,396,0,163
src/test/org/apache/commons/cli/UtilTest.java,4,115,11,2
src/test/org/apache/commons/cli/ValuesTest.java,14,396,144,91
src/test/org/apache/commons/cli/ValueTest.java,13,396,240,96
